mode,overall,alpha,lam,test_loss,test_acc,test_auc
Parameter-wise,False,1.000000,300,0.502929,0.763600,0.844582
Projection,False,1.000000,1000,0.504562,0.763400,0.849923
Parameter-wise,False,1.000000,1000,0.500934,0.760400,0.845174
Projection,False,1.000000,3000,0.501011,0.765500,0.849250
Parameter-wise,False,1.000000,3000,0.508860,0.755500,0.844525
Projection,False,1.000000,10000,0.492873,0.767500,0.850710
Parameter-wise,False,1.000000,10000,0.495280,0.764700,0.849308
Projection,False,1.000000,30000,0.503662,0.757800,0.847711
Parameter-wise,False,1.000000,30000,0.501975,0.760900,0.845394
Projection,True,0.010000,300,0.529301,0.742300,0.846345
Projection,True,0.100000,300,0.523542,0.754000,0.842783
Projection,True,0.010000,1000,0.503212,0.759300,0.849841
Projection,True,0.100000,1000,0.500024,0.766600,0.844386
Projection,True,0.010000,3000,0.495833,0.765600,0.850135
Projection,True,0.100000,3000,0.506304,0.760100,0.843779
Projection,True,0.010000,10000,0.496274,0.766400,0.849852
Projection,True,0.100000,10000,0.494436,0.766400,0.842956
Projection,True,0.010000,30000,0.525034,0.753900,0.848473
Projection,True,0.100000,30000,0.489776,0.768800,0.845224
Single task,True,1.000000,0,0.514221,0.753800,0.845258
Multitask,True,1.000000,300,0.505442,0.758200,0.843376
Multitask,True,1.000000,1000,0.496387,0.758700,0.849093
Multitask,True,1.000000,3000,0.505655,0.756100,0.844601
Multitask,True,1.000000,10000,0.494639,0.764000,0.844655
Multitask,True,1.000000,30000,0.526822,0.751300,0.843383
Projection,True,1.000000,300,0.510960,0.754000,0.841258
Unweighted cosine,True,1.000000,300,0.532129,0.748500,0.844360
Weighted cosine,True,1.000000,300,0.518922,0.754900,0.843129
Projection,True,1.000000,1000,0.529105,0.750500,0.844180
Unweighted cosine,True,1.000000,1000,0.512584,0.753700,0.844295
Weighted cosine,True,1.000000,1000,0.514859,0.755700,0.842740
Projection,True,1.000000,3000,0.497500,0.759800,0.847691
Unweighted cosine,True,1.000000,3000,0.500835,0.757300,0.845977
Weighted cosine,True,1.000000,3000,0.524468,0.746900,0.841998
Projection,True,1.000000,10000,0.512969,0.755500,0.850712
Unweighted cosine,True,1.000000,10000,0.513373,0.753100,0.846142
Weighted cosine,True,1.000000,10000,0.489114,0.763500,0.845002
Projection,True,1.000000,30000,0.487511,0.762900,0.847797
Unweighted cosine,True,1.000000,30000,0.625945,0.641500,0.734297
Weighted cosine,True,1.000000,30000,0.496338,0.758900,0.842579
Projection,False,1.000000,300,0.490977,0.763000,0.842546
Parameter-wise,False,1.000000,300,0.504874,0.758300,0.841267
Projection,False,1.000000,1000,0.491943,0.763700,0.845389
Parameter-wise,False,1.000000,1000,0.503162,0.754700,0.843751
Projection,False,1.000000,3000,0.494195,0.762900,0.845906
Parameter-wise,False,1.000000,3000,0.516377,0.754200,0.842830
Projection,False,1.000000,10000,0.507149,0.756100,0.845749
Parameter-wise,False,1.000000,10000,0.503613,0.756300,0.841767
Projection,False,1.000000,30000,0.506329,0.755300,0.845978
Parameter-wise,False,1.000000,30000,0.514387,0.746400,0.840574
Projection,True,0.010000,300,0.503550,0.758500,0.844502
Projection,True,0.100000,300,0.529593,0.752600,0.846883
Projection,True,0.010000,1000,0.502809,0.759200,0.845233
Projection,True,0.100000,1000,0.508895,0.758400,0.844844
Projection,True,0.010000,3000,0.500895,0.766000,0.852013
Projection,True,0.100000,3000,0.515814,0.755500,0.846132
Projection,True,0.010000,10000,0.493013,0.763000,0.847084
Projection,True,0.100000,10000,0.499255,0.758900,0.846745
Projection,True,0.010000,30000,0.492758,0.764400,0.845739
Projection,True,0.100000,30000,0.483255,0.770200,0.848074
Single task,True,1.000000,0,0.499364,0.761500,0.845223
Multitask,True,1.000000,300,0.496506,0.761800,0.849120
Multitask,True,1.000000,1000,0.493614,0.767300,0.852292
Multitask,True,1.000000,3000,0.511782,0.758700,0.848698
Multitask,True,1.000000,10000,0.509188,0.755800,0.849105
Multitask,True,1.000000,30000,0.520242,0.750600,0.840397
Projection,True,1.000000,300,0.499317,0.764700,0.849459
Unweighted cosine,True,1.000000,300,0.488941,0.765500,0.852334
Weighted cosine,True,1.000000,300,0.512454,0.755400,0.845692
Projection,True,1.000000,1000,0.484842,0.767100,0.852539
